applicant_id,email,email_preferred,school_decision,student_decision,ft_pt,gre_verbal,gre_quant,gre_analytical,applied_dual_prg,birth_date,gender,ethnicity,low_income
401,karin.walborn@gmail.com,walborn_karin@Outlook.com,A,A,pt,151,161,3,NODUAL,3/22/95,W,AN,N
386,yareli.granados@yahoo.com,,A,A,ft,164,161,3.5,YES,4/12/89,M,HL,N
2905,sulaimaan.al-demian@this.university.edu,al-demian_sulaimaan@Outlook.com,W,,ft,152,137,5,NODUAL,1/10/91,W,ME,N
3043,ryan.burt@this.university.edu,burt_ryan@Outlook.com,A,D,pt,135,134,5,YES,12/1/98,NB,W,Y
1546,ryan.villalobos@Outlook.com,villalobos_ryan@Outlook.com,W,,ft,154,164,3,NODUAL,11/3/89,M,HL,N
3861,aayid.el-jamal@yahoo.com,el-jamal_aayid@this.university.edu,A,A,ft,157,164,,NODUAL,11/21/85,W,ME,N
934,austin.poveromo@this.university.edu,poveromo_austin@Outlook.com,W,,ft,141,170,4,NODUAL,1/28/96,M,W,N
1763,sapphire.quick@this.university.edu,quick_sapphire@yahoo.com,A,A,ft,167,141,5.5,NODUAL,11/3/98,NB,AN,N
2839,franco.reyes@Outlook.com,reyes_franco@yahoo.com,A,D,ft,145,133,3.5,NODUAL,10/6/94,NB,HL,N
2388,hamdoona.al-mohammad@yahoo.com,al-mohammad_hamdoona@Outlook.com,R,,pt,154,159,,NODUAL,5/10/88,W,ME,N
3784,desiree.owen@this.university.edu,owen_desiree@yahoo.com,R,,ft,163,153,,NODUAL,3/28/97,NB,B,N
15,linda.valenciaalvarez@yahoo.com,valenciaalvarez_linda@yahoo.com,A,A,ft,132,167,4,NODUAL,5/1/95,W,HL,N
4257,julian.menso@yahoo.com,menso_julian@Outlook.com,A,A,ft,135,153,4,NODUAL,3/16/91,M,B,N
4386,rayna.basurto-munoz@this.university.edu,basurto-munoz_rayna@this.university.edu,A,A,ft,137,148,4.5,NODUAL,9/9/00,NB,HL,N
2443,kristina.gray@Outlook.com,gray_kristina@Outlook.com,W,,ft,169,143,,NODUAL,7/27/85,M,B,Y
3354,kaitlynn.downing@Outlook.com,downing_kaitlynn@this.university.edu,A,A,ft,146,166,3.5,NODUAL,7/13/91,NB,W,Y
3954,aaish.el-dallal@this.university.edu,,R,,ft,154,138,2.5,NODUAL,8/1/94,W,ME,N
1659,faith.yeh@this.university.edu,yeh_faith@yahoo.com,W,,ft,146,135,6,NODUAL,5/17/94,W,AP,N
4654,haajira.jonesjr@this.university.edu,jonesjr_haajira@Outlook.com,A,A,ft,152,148,5.5,YES,3/9/96,W,B,N
4096,kaci.nwairo@Outlook.com,nwairo_kaci@this.university.edu,A,D,ft,162,131,5,NODUAL,2/21/00,NB,B,N
2258,sherry.jenkins@this.university.edu,jenkins_sherry@gmail.com,R,,ft,135,154,5,NODUAL,10/27/92,NB,AP,N
2014,brianna.juarez@gmail.com,juarez_brianna@this.university.edu,A,D,ft,149,148,3,NODUAL,9/14/97,W,HL,Y
2556,jaime.archuleta@this.university.edu,archuleta_jaime@gmail.com,W,,ft,168,153,6,NODUAL,5/21/98,W,HL,Y
491,linsi.walls@yahoo.com,walls_linsi@Outlook.com,R,,ft,140,163,3,NODUAL,10/10/93,M,B,N
2010,quinten.taylor@yahoo.com,,A,A,ft,170,144,4.5,YES,5/9/92,M,B,N
1909,chance.grover@this.university.edu,,A,A,sub,159,164,5.5,YES,1/13/93,NB,AN,N
2297,anjunea.baheta@gmail.com,baheta_anjunea@this.university.edu,A,D,pt,154,166,,NODUAL,12/1/91,W,B,N
4877,holden.garcia@Outlook.com,,A,D,ft,146,156,3,YES,11/9/91,M,AP,Y
2619,james.beede@gmail.com,beede_james@this.university.edu,A,A,sub,160,144,3.5,NODUAL,7/22/86,W,W,Y
2583,jorge.rodriquez@Outlook.com,rodriquez_jorge@this.university.edu,A,A,ft,145,165,4.5,NODUAL,10/9/90,M,HL,N
891,dae.pham@gmail.com,pham_dae@gmail.com,A,A,sub,159,145,2.5,YES,8/11/95,W,AP,N
1792,naazil.al-khalifa@Outlook.com,al-khalifa_naazil@yahoo.com,R,,ft,143,156,2.5,NODUAL,4/1/94,W,ME,N
3517,jonathan.tokuyama@yahoo.com,tokuyama_jonathan@Outlook.com,A,A,pt,148,140,,NODUAL,11/25/92,W,AP,Y
1338,terri.baker@gmail.com,baker_terri@Outlook.com,A,A,ft,146,149,,NODUAL,11/10/99,M,AN,N
4670,matthew.kalagiri@gmail.com,kalagiri_matthew@this.university.edu,A,A,ft,153,153,3.5,NODUAL,8/5/96,M,AP,Y
693,hayden.schilt@yahoo.com,schilt_hayden@Outlook.com,R,,ft,153,132,4.5,NODUAL,10/19/86,NB,W,N
2096,alexis.pasillas@Outlook.com,pasillas_alexis@gmail.com,A,A,ft,155,,,NODUAL,2/23/87,W,HL,N
1992,mikayla.hourihan@this.university.edu,hourihan_mikayla@this.university.edu,R,,ft,163,148,6,NODUAL,1/19/00,W,B,N
3909,derrick.kling@Outlook.com,kling_derrick@gmail.com,R,,ft,142,160,2.5,NODUAL,4/19/00,W,W,N
12,ashley.brutout@this.university.edu,,W,,ft,153,130,4,NODUAL,1/7/99,W,AN,N
2724,ronnisha.gregg@yahoo.com,gregg_ronnisha@Outlook.com,A,D,ft,,130,2.5,NODUAL,3/23/91,NB,B,N
655,brandon.fujiwara@gmail.com,fujiwara_brandon@this.university.edu,A,A,ft,170,133,5,NODUAL,2/2/95,W,AP,N
2883,tomas.castellonroacho@yahoo.com,castellonroacho_tomas@Outlook.com,R,,sub,156,154,3.5,YES,12/5/88,W,HL,N
3810,radwa.al-semaan@yahoo.com,al-semaan_radwa@Outlook.com,A,A,ft,140,157,6,NODUAL,1/1/88,W,ME,N
2135,alanna.jenkins@yahoo.com,jenkins_alanna@this.university.edu,W,,sub,137,151,5,NODUAL,7/19/97,W,AN,Y
2047,makayla.pina@this.university.edu,pina_makayla@yahoo.com,A,A,ft,147,147,4.5,NODUAL,1/24/96,W,HL,Y
2209,saif.el-ahmadi@Outlook.com,el-ahmadi_saif@yahoo.com,A,A,ft,150,131,6,NODUAL,10/5/90,M,ME,N
1853,jordyn.shryock@this.university.edu,shryock_jordyn@Outlook.com,A,D,ft,169,141,5.5,NODUAL,12/23/87,M,W,N
2842,byron.arnold@gmail.com,arnold_byron@Outlook.com,W,,ft,156,133,5,NODUAL,8/12/96,W,AN,N
3627,stephon.echohawk@Outlook.com,echohawk_stephon@gmail.com,A,D,ft,163,153,,YES,11/24/93,W,AN,N
2645,aaron.romero@this.university.edu,romero_aaron@this.university.edu,A,D,sub,156,163,2.5,NODUAL,9/24/85,W,HL,Y
3732,maddison.story@gmail.com,story_maddison@Outlook.com,R,,ft,144,152,6,NODUAL,7/21/89,W,W,N
3271,veronica.muro@yahoo.com,muro_veronica@this.university.edu,R,,ft,146,162,,NODUAL,5/18/85,W,HL,N
1981,bradley.muppala@Outlook.com,muppala_bradley@Outlook.com,W,,ft,163,158,4,NODUAL,6/15/90,M,AP,N
2929,waleeda.el-hasan@Outlook.com,,A,A,pt,158,,,NODUAL,8/23/98,M,ME,Y
975,william.chen@gmail.com,chen_william@Outlook.com,A,A,pt,149,133,3.5,NODUAL,5/23/87,NB,AP,Y
4850,shawna.scott@yahoo.com,scott_shawna@this.university.edu,A,A,ft,167,159,2.5,NODUAL,5/2/91,NB,W,N
3834,jacob.gomez@gmail.com,gomez_jacob@Outlook.com,W,,ft,144,144,5,YES,10/6/88,W,HL,N
2749,kree.mcgowan@gmail.com,mcgowan_kree@yahoo.com,A,D,pt,153,146,5.5,NODUAL,8/10/99,W,AN,N
1598,yesenia.waters@this.university.edu,waters_yesenia@gmail.com,A,A,ft,165,150,3.5,YES,5/21/92,M,HL,N
4870,ulises.quintana@Outlook.com,quintana_ulises@Outlook.com,A,D,pt,135,158,3.5,NODUAL,10/25/94,NB,HL,Y
4180,hannah.hrelja@gmail.com,hrelja_hannah@gmail.com,A,D,pt,147,133,5,NODUAL,6/19/86,M,AP,Y
4597,joseph.adam@this.university.edu,adam_joseph@Outlook.com,A,A,sub,163,144,5.5,NODUAL,3/10/89,M,W,N
1230,justin.apodaca-anaya@this.university.edu,apodaca-anaya_justin@Outlook.com,A,A,ft,163,150,4,NODUAL,10/4/89,M,AN,Y
4012,branden.scott@gmail.com,scott_branden@Outlook.com,A,A,ft,148,162,4.5,NODUAL,1/1/85,W,B,N
2330,jared.guidry@gmail.com,guidry_jared@gmail.com,A,A,ft,153,159,3,NODUAL,1/28/00,NB,W,N
1856,nikki.mix@Outlook.com,mix_nikki@gmail.com,R,,ft,144,136,6,NODUAL,12/26/91,M,AN,N
612,reyna.alcon@yahoo.com,alcon_reyna@gmail.com,W,,sub,163,162,4.5,NODUAL,3/18/92,W,HL,N
3,devon.durst@Outlook.com,durst_devon@Outlook.com,A,A,ft,141,132,3.5,NODUAL,1/7/91,M,B,Y
2436,susana.vazquezmarquez@Outlook.com,,A,D,ft,130,142,5.5,NODUAL,4/13/90,M,HL,N
1124,luis.valdez@Outlook.com,valdez_luis@Outlook.com,A,A,ft,140,138,3,NODUAL,4/28/89,W,HL,N
1780,awf.el-wakim@Outlook.com,el-wakim_awf@yahoo.com,R,,ft,166,142,2.5,NODUAL,9/3/92,W,ME,N
1339,elora.palomares@this.university.edu,palomares_elora@yahoo.com,A,A,ft,143,146,4,YES,1/8/85,M,HL,N
2520,sparkle.hocker@Outlook.com,,A,D,ft,140,131,5,NODUAL,12/15/98,M,B,N
589,mahbooba.al-daoud@gmail.com,al-daoud_mahbooba@Outlook.com,W,,pt,169,141,3,NODUAL,10/1/90,M,ME,Y
4155,antonio.mcbroom@this.university.edu,mcbroom_antonio@this.university.edu,R,,ft,144,153,2.5,YES,11/17/89,M,AN,Y
19,jenna.aulakh@gmail.com,aulakh_jenna@gmail.com,A,A,ft,137,161,3.5,NODUAL,4/10/99,NB,AP,N
3370,layla.schmalz@Outlook.com,schmalz_layla@gmail.com,A,A,ft,163,138,2.5,NODUAL,8/1/87,W,AN,N
4910,sabaah.el-madani@gmail.com,el-madani_sabaah@this.university.edu,A,A,ft,159,139,3,YES,6/8/92,W,ME,N
2548,sierra.randle@gmail.com,randle_sierra@this.university.edu,A,D,ft,152,158,2.5,YES,11/16/88,NB,B,N
3014,alayna.ha@yahoo.com,ha_alayna@Outlook.com,A,D,sub,130,138,,YES,5/28/94,M,AP,N
541,taylor.elden@yahoo.com,,A,D,ft,140,159,5,NODUAL,1/18/98,NB,AN,N
215,alan.powell@this.university.edu,powell_alan@yahoo.com,A,A,ft,132,157,2.5,NODUAL,10/12/96,M,W,Y
3717,turell.brown@Outlook.com,brown_turell@this.university.edu,A,A,ft,138,143,4,YES,9/8/95,W,B,N
3177,kailen.kallander@gmail.com,kallander_kailen@gmail.com,A,A,pt,156,147,5,NODUAL,7/24/87,M,AP,N
2339,fantasia.baldwin@this.university.edu,baldwin_fantasia@gmail.com,A,A,ft,163,,5.5,NODUAL,7/4/98,M,W,N
2073,kelli.ketchum@this.university.edu,ketchum_kelli@gmail.com,A,A,ft,158,158,6,NODUAL,2/19/86,NB,AN,N
4212,saalih.el-vohra@gmail.com,el-vohra_saalih@gmail.com,A,A,ft,146,166,3.5,YES,5/20/98,W,ME,N
5,kenneth.shen@yahoo.com,shen_kenneth@this.university.edu,A,A,ft,151,146,6,YES,5/3/94,M,AP,Y
1722,ayana.peevy@yahoo.com,peevy_ayana@gmail.com,A,A,ft,157,164,5.5,NODUAL,12/7/98,W,B,Y
2102,cherokee.lohrenz@yahoo.com,lohrenz_cherokee@this.university.edu,A,A,pt,133,133,,NODUAL,5/24/90,W,AN,N
2576,galen.mesch@Outlook.com,mesch_galen@gmail.com,A,A,ft,154,169,2.5,NODUAL,4/1/85,W,W,N
2308,conor.nielsen@Outlook.com,nielsen_conor@this.university.edu,R,,ft,143,166,6,NODUAL,10/26/85,M,W,Y
2408,jazlyn.zuni@yahoo.com,zuni_jazlyn@yahoo.com,A,A,ft,159,157,,NODUAL,9/19/98,NB,AN,N
3820,cheyenne.leamons@Outlook.com,leamons_cheyenne@gmail.com,A,D,ft,170,144,6,NODUAL,3/10/92,NB,AN,N
4436,johnathan.cabral@yahoo.com,cabral_johnathan@yahoo.com,A,D,ft,160,166,4,NODUAL,7/15/88,NB,HL,N
1094,cassandra.richter@gmail.com,richter_cassandra@gmail.com,A,A,pt,131,167,3,YES,2/9/89,NB,AP,N
1380,fabian.ornelas@Outlook.com,ornelas_fabian@Outlook.com,A,A,ft,146,170,4,NODUAL,10/27/96,M,HL,N
1974,keeman.fink@gmail.com,fink_keeman@this.university.edu,R,,pt,143,146,4.5,YES,11/28/88,W,AN,N
101,waneesa.al-hannan@this.university.edu,al-hannan_waneesa@yahoo.com,A,A,ft,144,155,4.5,NODUAL,9/14/96,M,ME,Y
864,zainab.al-saleem@yahoo.com,al-saleem_zainab@this.university.edu,A,A,ft,153,157,5.5,NODUAL,12/18/93,NB,ME,N
4235,mashal.al-salih@yahoo.com,al-salih_mashal@yahoo.com,W,,ft,162,135,3.5,NODUAL,9/1/92,W,ME,N
4165,denajae.wright-graham@yahoo.com,wright-graham_denajae@yahoo.com,R,,pt,136,150,4,YES,7/21/98,W,B,N
844,louie.keese@Outlook.com,keese_louie@this.university.edu,A,A,ft,152,133,6,NODUAL,6/1/00,M,AN,N
1510,kaela.daniels@yahoo.com,daniels_kaela@Outlook.com,A,D,ft,151,142,2.5,NODUAL,6/2/92,W,B,N
3243,khin.char@this.university.edu,char_khin@gmail.com,R,,pt,135,,4.5,NODUAL,9/16/90,M,AP,Y
2870,konner.crowe@yahoo.com,crowe_konner@gmail.com,A,D,ft,145,138,3,NODUAL,4/12/88,M,W,N
4108,carina.maciasmoreno@this.university.edu,maciasmoreno_carina@this.university.edu,A,A,ft,151,164,3,YES,3/16/94,M,HL,N
629,shaafia.el-qazi@this.university.edu,el-qazi_shaafia@Outlook.com,A,A,ft,155,144,6,NODUAL,2/27/85,M,ME,Y
2497,leonard.kurtzer@yahoo.com,kurtzer_leonard@yahoo.com,A,A,ft,133,166,,NODUAL,12/15/97,W,W,N
4013,benjamin.mitchell@this.university.edu,mitchell_benjamin@gmail.com,A,D,ft,146,157,6,NODUAL,11/22/89,M,AN,N
2817,azucena.elias@this.university.edu,elias_azucena@Outlook.com,A,A,ft,130,160,5.5,NODUAL,4/22/85,M,HL,N
4356,allison.vanzandt@this.university.edu,vanzandt_allison@yahoo.com,A,A,ft,165,147,5,NODUAL,3/15/90,M,AN,N
817,husniyya.al-hakim@gmail.com,al-hakim_husniyya@gmail.com,A,A,ft,130,157,4.5,NODUAL,4/28/93,NB,ME,N
2932,jasmine.hildreth@this.university.edu,hildreth_jasmine@this.university.edu,A,A,ft,154,,2.5,NODUAL,8/21/85,NB,B,N
3892,tawheed.al-odeh@gmail.com,al-odeh_tawheed@yahoo.com,R,,pt,147,136,3,NODUAL,8/13/92,NB,ME,N
2249,jalan.kelly@Outlook.com,kelly_jalan@Outlook.com,A,D,ft,153,159,6,NODUAL,11/7/89,W,B,N
2035,christy.sena@Outlook.com,sena_christy@Outlook.com,A,A,ft,152,156,4,NODUAL,7/16/88,W,AP,N
555,alyssa.valle@yahoo.com,valle_alyssa@yahoo.com,A,A,ft,151,168,3,YES,6/13/86,NB,HL,N
3026,tina.asuega@gmail.com,asuega_tina@gmail.com,A,A,ft,131,135,,NODUAL,2/16/96,M,AP,N
4849,katara.rubio@gmail.com,rubio_katara@Outlook.com,W,,ft,131,145,3,NODUAL,5/14/99,M,HL,N
2160,wardiyya.el-hammad@yahoo.com,,W,,sub,155,138,4.5,NODUAL,7/19/96,W,ME,N
2899,della.machihara@yahoo.com,machihara_della@gmail.com,R,,ft,167,164,,NODUAL,11/10/99,W,AP,Y
2853,elizabeth.mccarver@yahoo.com,mccarver_elizabeth@yahoo.com,A,A,ft,147,132,,NODUAL,3/3/89,M,W,N
1795,simcha.blackhorse@Outlook.com,blackhorse_simcha@yahoo.com,W,,ft,140,155,3.5,NODUAL,11/22/95,M,AN,N
2023,johnathan.sack@yahoo.com,sack_johnathan@gmail.com,A,A,ft,131,150,5,NODUAL,5/11/00,M,W,N
1086,david.cobb@gmail.com,cobb_david@Outlook.com,A,A,ft,156,138,,NODUAL,3/26/96,W,B,N
1672,santa-li.madera@yahoo.com,madera_santa-li@yahoo.com,A,A,ft,156,148,2.5,NODUAL,9/19/00,W,HL,N
3446,shantell.ibanez@yahoo.com,ibanez_shantell@gmail.com,A,D,ft,165,148,5,NODUAL,12/10/88,M,HL,N
2855,nuzha.el-baten@gmail.com,el-baten_nuzha@yahoo.com,A,D,ft,164,159,3.5,NODUAL,6/23/97,W,ME,N
3510,majeeda.el-saab@yahoo.com,el-saab_majeeda@yahoo.com,A,A,ft,155,148,,NODUAL,1/19/92,M,ME,Y
2600,nazmiyya.al-mahmud@this.university.edu,al-mahmud_nazmiyya@gmail.com,A,D,ft,166,149,5.5,YES,2/14/99,M,ME,N
993,manaahil.el-laham@this.university.edu,el-laham_manaahil@yahoo.com,R,,sub,151,130,4.5,NODUAL,2/18/99,W,ME,N
740,anfernee.johnson@Outlook.com,johnson_anfernee@Outlook.com,A,A,pt,161,130,3,NODUAL,11/15/89,W,AN,N
3277,destinie.esquivel@gmail.com,esquivel_destinie@yahoo.com,A,D,ft,140,133,5,NODUAL,4/24/93,M,HL,N
3129,katherine.grado@gmail.com,,R,,sub,144,137,3.5,NODUAL,5/27/90,W,HL,N
40,zaahira.al-sader@Outlook.com,al-sader_zaahira@yahoo.com,R,,ft,166,150,3.5,YES,1/14/87,M,ME,Y
2139,alise.porter@yahoo.com,porter_alise@Outlook.com,A,D,sub,,151,3.5,NODUAL,10/21/90,W,B,N
2850,jarrett.vigil@Outlook.com,,A,A,ft,165,165,,NODUAL,5/21/96,W,AN,N
2360,courtney.silvas@this.university.edu,silvas_courtney@yahoo.com,A,D,ft,160,164,4.5,NODUAL,3/25/89,NB,HL,N
370,diana.sung@yahoo.com,sung_diana@Outlook.com,R,,ft,151,162,4.5,NODUAL,4/18/89,NB,AP,Y
3547,samuel.ryan@gmail.com,ryan_samuel@this.university.edu,A,A,ft,163,154,3.5,NODUAL,12/18/90,NB,W,N
793,brandon.gutierrez@gmail.com,gutierrez_brandon@gmail.com,A,A,ft,135,164,4.5,NODUAL,11/22/97,NB,HL,N
4262,citlaly.galvan-lopez@this.university.edu,galvan-lopez_citlaly@Outlook.com,A,D,ft,161,131,4,NODUAL,7/4/88,W,HL,Y
2727,riley.sanger@Outlook.com,,A,A,ft,153,133,4.5,NODUAL,4/16/98,NB,W,N
4841,matthew.begay@Outlook.com,begay_matthew@gmail.com,A,D,ft,159,163,4.5,NODUAL,10/11/88,NB,AN,Y
1849,bryan.klebanov@yahoo.com,klebanov_bryan@Outlook.com,A,D,ft,144,150,5,NODUAL,1/22/85,NB,W,Y
444,anjelica.marquezrodriguez@yahoo.com,marquezrodriguez_anjelica@yahoo.com,W,,ft,146,169,4,NODUAL,4/8/92,W,HL,N
